feature,avg_rank,h_rank,l_rank
X1812935,134.1413043478261,60,265
X1841863,134.94021739130434,79,263
X79604,135.54347826086956,66,253
X1366,136.02717391304347,74,253
X2051905,136.44565217391303,61,232
X1839799,137.70108695652175,73,253
X615,138.83152173913044,69,235
X28116,139.1576086956522,81,266
X1156431,139.16304347826087,81,262
X1147145,139.5326086956522,64,189
X10678,139.6086956521739,54,246
X837,140.22282608695653,85,263
X1335613,140.6413043478261,81,264
X208962,142.09782608695653,84,255
X1852377,142.8858695652174,82,264
X1725232,144.77717391304347,85,264
X1834198,144.82608695652175,68,265
X199,145.84782608695653,59,236
X82983,146.6413043478261,74,255
X847,147.0923913043478,52,206
X414970,147.1086956521739,62,167
X536441,147.3586956521739,86,219
X1907578,151.83695652173913,81,169
X1915310,155.02173913043478,68,239
X51669,155.20108695652175,73,259
X432198,155.8804347826087,78,171
X1785995,157.28804347826087,79,257
X1531429,157.91847826086956,70,264
X1303,157.93478260869566,81,268
X1352,158.05434782608697,66,266
X158847,158.54891304347825,68,263
X28901,158.70108695652175,80,238
X1597,163.33152173913044,84,264
X573062,163.6413043478261,80,254
X1796613,164.2445652173913,88,265
X671223,164.83152173913044,77,209
X255248,164.94021739130434,56,264
X1147152,165.17391304347825,78,265
X1702170,166.60326086956522,80,259
X1398,167.66847826086956,85,267
X1168034,167.8423913043478,83,267
X137591,167.9945652173913,63,264
X29343,168.10326086956522,89,265
X1147153,169.6141304347826,76,186
X1562970,170.93478260869566,86,268
X1302,171.20652173913044,85,261
X299767,172.30434782608697,65,250
X1492,174.7608695652174,58,263
X1884263,175.4891304347826,87,225
X1524881,176.65217391304347,81,268
X1596,177.06521739130434,86,264
X1852374,178.21195652173913,83,264
X47715,178.70108695652175,87,256
X1589,179.03804347826087,76,264
X1870984,179.22826086956522,83,264
X712633,181.17934782608697,81,268
X1649240,183.1358695652174,68,196
X824,183.68478260869566,80,266
X1311,183.95108695652175,83,268
X417368,185.16847826086956,74,259
X853,185.3804347826087,92,265
X1090133,185.5108695652174,82,221
X1944646,185.89673913043478,75,262
X2173,186.6195652173913,95,251
X413503,186.79347826086956,87,201
X195,186.8586956521739,105,265
X1354,187.79347826086956,67,264
X1211417,187.9673913043478,89,269
X316,188.875,84,204
X1661,189.56521739130434,84,262
X35703,190.69565217391303,85,260
X1255,191.1086956521739,74,267
X1351,194.92934782608697,88,269
X550,196.30434782608697,80,257
X1642646,197.5923913043478,81,263
X573,199.45652173913044,83,266
X1868135,200.79891304347825,83,268
X1561,201.83695652173913,86,261
X901,202.3586956521739,86,268
X28038,202.95108695652175,73,263
X155148,203.1304347826087,81,264
X1147151,203.28804347826087,90,265
X470,206.31521739130434,87,259
X103216,207.04347826086956,83,217
X76123,209.2554347826087,90,267
X727,209.34782608695653,98,264
X1147147,210.02717391304347,89,221
X28025,210.3423913043478,88,265
X105219,210.6358695652174,91,224
X1902136,212.91304347826087,93,267
X227940,214.4891304347826,78,223
X57706,214.80978260869566,76,267
X1324352,215.08152173913044,88,267
X66284,215.94021739130434,87,265
X1905288,218.07065217391303,87,262
X37554,218.5923913043478,94,229
X1147157,218.82608695652175,90,228
X1560339,223.67934782608697,93,264
X1496,224.05978260869566,92,269
X1296536,224.6195652173913,88,257
X1759399,225.4673913043478,107,269
X10679,226.47826086956522,90,238
X1934254,227.6413043478261,87,265
X1147144,227.67934782608697,93,263
X1357825,229.30434782608697,96,264
X69328,229.875,102,240
X283734,231.05978260869566,114,268
X712122,231.40217391304347,142,269
X1502,231.70652173913044,99,265
X1314,233.20108695652175,119,268
X1580,234.17391304347825,95,268
X1249,234.43478260869566,93,267
X1587,234.85326086956522,89,266
X1363,236.91304347826087,93,267
X1744,239.59782608695653,110,266
X1590,239.83695652173913,100,267
X545,240.17391304347825,91,265
X1815968,240.2663043478261,106,267
X584,241.04347826086956,96,266
X1338,242.3641304347826,97,267
X33033,243.2173913043478,99,269
X10710,243.92934782608697,90,251
X1648,244.6358695652174,93,266
X10742,244.65217391304347,92,253
X1834207,244.7336956521739,118,269
X61648,245.8913043478261,119,265
X1280,246.95108695652175,106,267
X1598,250.2663043478261,92,262
X315405,250.47282608695653,105,268
X1147146,251.09782608695653,101,259
X712538,251.32065217391303,119,268
X856,253.19021739130434,92,264
X248315,253.92391304347825,150,268
X571,256.2228260869565,112,266
X1796616,257.2173913043478,135,269
X33959,258.83152173913044,95,266
X10680,260.51630434782606,128,269
X1679721,261.8478260869565,184,268
X1197717,263.44565217391306,181,269
